text,
事務所をタダで提供してもらえるって端的に羨ましいですがそれ自体は支援だから否定はできないでも記載のルールがあるのは健全な選挙競争のためなんだから…🙄https://t.co/XYwkdxqRDq,
text,
複数の作家さんが所属する事務所で手伝いしてた時(ボランティア)、作家さんを前に「本は買いません、BOOK●FFで立ち読みです」って言い放った学生の衝撃は今でも忘れられない。そう言う人がいるのは否定しない。けど、状況中の状況だけに不謹慎ながら●んでほしかった。(おい,
綾瀬はるか、永野芽郁と連日チュー！佐藤健のキスシーンの「魔力」 所属事務所は交際を否定しており、「友人の一人」とコメントしたようです。 https://t.co/PPJ0bdmMiR,
@over_drive_2529 実はスルーというわけでもなかった。その以前に、一回で保護者説明会で吉成社長が垂れ流したバカみたいな話についても、二回もAKSの遠藤弁護士が囲み取材で垂れ流したバカみたいな話についても、文春と産経それぞれの取材に対して所属事務所を通してちゃんと否定した。,
職場の同僚が、私が好きなアイドル否定したうえで、同事務所の後輩グループの子の名前出してそっちのほうがいい的な発言かるーくしてきてさ。腹立つ以上におそろしくなった。こういう悪気もなんもなく地雷踏み抜く系の人、とりあえず無事であれ。,
@samaryoak なんかね…あちらのタグのこと、しっかりは読んでないけど、TLで流れてくる感じだとみっくんの人格否定してる人までいるみたいで…あと、公式へ抗議したり…気持ちをここで吐き出すのはいいけど…でも公式や事務所が最終的には配信決めてるんだからさ…みっくんへの攻撃はやめてほしいな😣,
@earthusahana 彼らの思いはわかっていますし、メンバーを否定しているわけではありません。その上にいる人達に対してです。学生のEarthもたくさん居るのに運営はそこまで考えてなかったんだと思っただけです。事務所がブラックだろうが応援したいグループは応援しています。,
思い出すのは、私たちがジゅニア時代に動画投稿を始めた当初のこと。｢事務所のブランド力を低下させるのではないか｣、｢アイドルの安売りをするな｣といった否定的な意見は結構あった。,
@onoderamasaru 本文より「サイトル」は自社ウェブサイトで「（中略）フランクルトには事務所もサーバーもない」と明確に否定。米AP通信が米陸軍などに確認したところ、いずれもこの情報を否定した。要は和田浩明/統合デジタル「取材」センター　が自ら「取材」してない「ファクトチェック」笑,
「サイトル」は自社ウェブサイトで「（中略）フランクルトには事務所もサーバーもない」と明確に否定。米AP通信が米陸軍などに確認したところ、いずれもこの情報を否定した。要は和田浩明/統合デジタル「取材」センター　が自ら「取材」してない「ファクトチェック」笑https://t.co/A5CGrJKqRW,
そうだったら否定的なコメントは抹消されるよね。あの事務所ならそうする。,
@jda1BekUDve1ccx ＜承前＞・ドイツサーバーを押収されたというスペイン企業「サイトル」は自社ウェブサイトで、「米国でのサービス用サーバーは全て米国内に存在する。フランクルトには事務所もサーバーもない」と明確に否定。,
@Xv_shocklunab_t 取材に対して、所属事務所が否定も何もしないって事は、本人かも知れませんしね。😅生存確認できたから良いと思います。😄,
@rustyna42034103 でも、HEATHの所属事務所も否定してないんですよね。😅自分も、日産スタジアムのゴール裏に良く居るので、テレビとかで映りますよ。😄,
[ウルトラズ]左からトースター松林、ホンコンチュニジア、ジッパージャンパーの三人で構成されるロックバンド。代表曲は「ヤッター」「アホグラミー賞」など。本人らはウルフルズとの関係を否定していたが、芸能事務所の意向によりコラボが実現した。登場回：ウルフルズに影響されている奴 https://t.co/pjQXcKyODk,
日高くんの件、色々言われてて、たしかに、今？とも思うけど、日高くんのそのリリックに救われ、日高くんの考えに共感を持ったうちらをも否定するような発言は控えていただきたいなぁ。。パクったこと自体悪いんだし、事務所的にも色々言ったら潰されるの分かっててSNSを使ったと思うし、もどかしい,
しかし前職ブラック企業から芸能事務所のマネージャーという経歴を持つ夢主ちゃんはそんな理不尽で我儘kitさんの要求も頑張ってこなす。ただ、週刊誌の報道だけは突撃してきたカメラの前で全力否定。記者「タレントのkitさんと御付き合いしているようですけれども」夢主「いや、違いますって」,
嘘つき人は、散々事務所批判していたのに、春馬ファンが一般人からあたおか認定されると、急に我は部外者ばかりにあたおか憶測を否定し、事務所批判も否定してたんですよ。周りの人から聞き出すにはあたおかというイメージを払拭なきゃと。でもまた事務所批判始めたんですね、振り出しに戻りましたね,
